"""price""","""area""","""bedrooms""","""bathrooms""","""stories""","""mainroad""","""guestroom""","""basement""","""hotwaterheating""","""airconditioning""","""parking""","""prefarea""","""furnishingstatus""","""price_per_sq"""
10150000,16200,5,3,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",626.5432098765432
5943000,15600,3,1,1,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""semi-furnished""",380.96153846153845
9800000,13200,3,1,2,"""yes""","""no""","""yes""","""no""","""yes""",2,"""yes""","""furnished""",742.4242424242424
6930000,13200,2,1,1,"""yes""","""no""","""yes""","""yes""","""no""",1,"""no""","""furnished""",525.0
3500000,12944,3,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",270.39555006180467
4900000,12900,3,1,1,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""furnished""",379.84496124031006
6790000,12090,4,2,2,"""yes""","""no""","""no""","""no""","""no""",2,"""yes""","""furnished""",561.6211745244003
5873000,11460,3,1,3,"""yes""","""no""","""no""","""no""","""no""",2,"""yes""","""semi-furnished""",512.478184991274
7343000,11440,4,1,2,"""yes""","""no""","""yes""","""no""","""no""",1,"""yes""","""semi-furnished""",641.8706293706293
5110000,11410,2,1,2,"""yes""","""no""","""no""","""no""","""no""",0,"""yes""","""furnished""",447.85276073619633
7000000,11175,3,1,1,"""yes""","""no""","""yes""","""no""","""yes""",1,"""yes""","""furnished""",626.3982102908277
5040000,10700,3,1,2,"""yes""","""yes""","""yes""","""no""","""no""",0,"""no""","""semi-furnished""",471.02803738317755
6615000,10500,3,2,1,"""yes""","""no""","""yes""","""no""","""yes""",1,"""yes""","""furnished""",630.0
5600000,10500,4,2,2,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",533.3333333333334
5600000,10500,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",533.3333333333334
4305000,10360,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""semi-furnished""",415.5405405405405
5250000,10269,3,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""semi-furnished""",511.2474437627812
4760000,10240,2,1,1,"""yes""","""no""","""no""","""no""","""yes""",2,"""yes""","""unfurnished""",464.84375
12250000,9960,3,2,2,"""yes""","""no""","""yes""","""no""","""no""",2,"""yes""","""semi-furnished""",1229.9196787148594
4515000,9860,3,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""semi-furnished""",457.9107505070994
5250000,9800,4,2,2,"""yes""","""yes""","""no""","""no""","""no""",2,"""no""","""semi-furnished""",535.7142857142857
4690000,9667,4,2,2,"""yes""","""yes""","""yes""","""no""","""no""",1,"""no""","""semi-furnished""",485.15568428674874
6083000,9620,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",2,"""yes""","""furnished""",632.3284823284823
3500000,9500,3,1,2,"""yes""","""no""","""no""","""no""","""no""",3,"""yes""","""unfurnished""",368.42105263157896
4760000,9166,2,1,1,"""yes""","""no""","""yes""","""no""","""yes""",2,"""no""","""semi-furnished""",519.3104953087498
3150000,9000,3,1,2,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""semi-furnished""",350.0
6300000,9000,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",1,"""yes""","""furnished""",700.0
7245000,9000,4,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""yes""","""furnished""",805.0
7980000,9000,4,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",886.6666666666666
12250000,8960,4,4,4,"""yes""","""no""","""no""","""no""","""yes""",3,"""no""","""furnished""",1367.1875
6930000,8880,3,2,2,"""yes""","""no""","""yes""","""no""","""yes""",1,"""no""","""furnished""",780.4054054054054
7070000,8880,2,1,1,"""yes""","""no""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",796.1711711711712
8400000,8875,3,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",946.4788732394367
8575000,8800,3,2,2,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",974.4318181818181
6440000,8580,5,3,2,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""furnished""",750.5827505827506
10150000,8580,4,3,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""yes""","""semi-furnished""",1182.983682983683
5250000,8520,3,1,1,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",616.1971830985915
8960000,8500,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",1054.1176470588234
3780000,8400,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""furnished""",450.0
4550000,8400,4,1,4,"""yes""","""no""","""no""","""no""","""no""",3,"""no""","""unfurnished""",541.6666666666666
5250000,8400,3,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""unfurnished""",625.0
6090000,8372,3,1,3,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""unfurnished""",727.4247491638796
3773000,8250,3,1,1,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""furnished""",457.3333333333333
4480000,8250,3,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""furnished""",543.030303030303
4193000,8250,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",3,"""no""","""semi-furnished""",508.24242424242425
6510000,8250,3,2,3,"""yes""","""no""","""no""","""no""","""yes""",0,"""no""","""furnished""",789.0909090909091
5005000,8150,3,2,1,"""yes""","""yes""","""yes""","""no""","""no""",0,"""no""","""semi-furnished""",614.1104294478528
9870000,8100,4,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""furnished""",1218.5185185185185
4795000,8100,4,1,4,"""yes""","""no""","""yes""","""no""","""yes""",2,"""no""","""semi-furnished""",591.9753086419753
3087000,8100,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""unfurnished""",381.1111111111111
3920000,8080,3,1,1,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""semi-furnished""",485.1485148514852
3003000,8050,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",373.04347826086956
8645000,8050,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",1,"""no""","""furnished""",1073.9130434782608
6020000,8000,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""semi-furnished""",752.5
5145000,7980,3,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""semi-furnished""",644.7368421052631
5495000,7980,3,1,1,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""semi-furnished""",688.5964912280701
8400000,7950,5,2,2,"""yes""","""no""","""yes""","""yes""","""no""",2,"""no""","""unfurnished""",1056.6037735849056
9240000,7800,3,2,2,"""yes""","""no""","""no""","""no""","""no""",0,"""yes""","""semi-furnished""",1184.6153846153845
5320000,7800,3,1,1,"""yes""","""no""","""yes""","""no""","""yes""",2,"""yes""","""unfurnished""",682.0512820512821
4270000,7770,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""furnished""",549.5495495495495
2450000,7700,2,1,1,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",318.1818181818182
6895000,7700,3,2,1,"""yes""","""no""","""no""","""no""","""no""",2,"""no""","""unfurnished""",895.4545454545455
4970000,7686,3,1,1,"""yes""","""yes""","""yes""","""yes""","""no""",0,"""no""","""semi-furnished""",646.6302367941712
7210000,7680,4,2,4,"""yes""","""yes""","""no""","""no""","""yes""",1,"""no""","""semi-furnished""",938.8020833333334
5040000,7600,4,1,2,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""furnished""",663.1578947368421
10850000,7500,3,3,1,"""yes""","""no""","""yes""","""no""","""yes""",2,"""yes""","""semi-furnished""",1446.6666666666667
12215000,7500,4,2,2,"""yes""","""no""","""yes""","""no""","""yes""",3,"""yes""","""furnished""",1628.6666666666667
8043000,7482,3,2,3,"""yes""","""no""","""no""","""yes""","""no""",1,"""yes""","""furnished""",1074.979951884523
8400000,7475,3,2,4,"""yes""","""no""","""no""","""no""","""yes""",2,"""no""","""unfurnished""",1123.7458193979933
7420000,7440,3,2,1,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",997.3118279569892
7420000,7440,3,2,4,"""yes""","""no""","""no""","""no""","""no""",1,"""yes""","""unfurnished""",997.3118279569892
3500000,7424,3,1,1,"""no""","""no""","""no""","""no""","""no""",0,"""no""","""unfurnished""",471.4439655172414
13300000,7420,4,2,3,"""yes""","""no""","""no""","""no""","""yes""",2,"""yes""","""furnished""",1792.4528301886792
11410000,7420,4,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""no""","""furnished""",1537.7358490566037
6475000,7410,3,1,1,"""yes""","""yes""","""yes""","""no""","""yes""",2,"""yes""","""unfurnished""",873.8191632928475
3500000,7350,2,1,1,"""yes""","""no""","""no""","""no""","""no""",1,"""no""","""semi-furnished""",476.1904761904762
5950000,7320,4,2,2,"""yes""","""no""","""no""","""no""","""no""",0,"""no""","""furnished""",812.8415300546449
3920000,7260,3,2,1,"""yes""","""yes""","""yes""","""no""","""no""",3,"""no""","""furnished""",539.9449035812672
5950000,7231,3,1,2,"""yes""","""yes""","""yes""","""no""","""yes""",0,"""yes""","""semi-furnished""",822.8460793804453
5215000,7200,3,1,2,"""yes""","""yes""","""yes""","""no""","""no""",1,"""yes""","""furnished""",724.3055555555555
6300000,7200,3,2,1,"""yes""","""no""","""yes""","""no""","""yes""",3,"""no""","""semi-furnished""",875.0
5880000,7160,3,1,1,"""yes""","""no""","""yes""","""no""","""no""",2,"""yes""","""unfurnished""",821.2290502793296
